,Protein_Names,Sample_Name,Hits
168,MUG1_MOUSE,Q331K_M1,208733.0
169,KIF2A-1_MOUSE;KIF2A-2_MOUSE;KIF2A_MOUSE,Q331K_M1,136439.0
170,GBB1_MOUSE;GBB2_MOUSE;GBB3_MOUSE;GBB4_MOUSE,Q331K_M1,138869.0
171,S6A11_MOUSE,Q331K_M1,256185.0
172,RAB6A-2_MOUSE;RAB6A_MOUSE;RAB6B_MOUSE;RB39A_MOUSE,Q331K_M1,0.0
173,ODPA_MOUSE,Q331K_M1,165694.0
174,HUTH_MOUSE,Q331K_M1,81835.7
175,PRDX1_MOUSE,Q331K_M1,534055.0
176,RL18_MOUSE,Q331K_M1,93713.0
177,GRP75_MOUSE,Q331K_M1,614944.0
178,DYN1-3_MOUSE;DYN1-4_MOUSE;DYN1-5_MOUSE;DYN1-6_MOUSE;DYN1_MOUSE,Q331K_M1,259972.0
179,TKT_MOUSE,Q331K_M1,0.0
180,PURA_MOUSE,Q331K_M1,803074.0
181,TCPQ_MOUSE,Q331K_M1,1470160.0
182,EAA2-2_MOUSE;EAA2_MOUSE,Q331K_M1,2783920.0
183,H14_MOUSE,Q331K_M1,252573.0
184,IL12B_MOUSE,Q331K_M1,110661.0
185,SYT1_MOUSE,Q331K_M1,106967.0
186,NSF_MOUSE,Q331K_M1,858190.0
187,AINX_MOUSE,Q331K_M1,852914.0
188,CAPZB-2_MOUSE;CAPZB-4_MOUSE;CAPZB_MOUSE,Q331K_M1,59350.0
189,PFKAM-2_MOUSE;PFKAM-3_MOUSE;PFKAM_MOUSE,Q331K_M1,332141.0
190,RL6_MOUSE,Q331K_M1,381057.0
191,RL13_MOUSE,Q331K_M1,106711.0
192,ADT1_MOUSE,Q331K_M1,8379390.0
193,ROA1_MOUSE,Q331K_M1,5691030.0
194,VATA_MOUSE,Q331K_M1,140894.0
195,DVL1_MOUSE,Q331K_M1,77294.2
196,ADT2_MOUSE,Q331K_M1,1680330.0
197,KPYM-2_MOUSE,Q331K_M1,212680.0
198,ODB2_MOUSE,Q331K_M1,48680.6
199,RAB2A_MOUSE;RAB2B_MOUSE,Q331K_M1,108882.0
